name_uk,name_en,place,oblast,lat,lon,osm_id,osm_type
Донецьк,Donetsk,city,Донецька,47.982609,37.762113,1413957,relation
Маріуполь,Mariupol,city,Донецька,47.128554,37.610502,1748539,relation
Новий Світ,Novyi Svit,town,Донецька,47.80731,38.021931,1960456,relation
Сніжне,Snizhne,town,Донецька,48.042072,38.748105,2068203,relation
Макіївка,Makiivka,city,Донецька,48.056729,37.961435,2224013,relation
Харцизьк,Khartsyzk,town,Донецька,48.040413,38.141987,2228485,relation
Чистякове,Chystiakove,town,Донецька,48.033395,38.618045,2263374,relation
Докучаєвськ,Dokuchaievsk,town,Донецька,47.752082,37.679603,2317624,relation
Шахтарськ,Shakhtarsk,town,Донецька,48.065024,38.460358,2381773,relation
Молодецьке,Molodetske,village,Донецька,48.029677,38.465786,2381776,relation
Вікторія,Viktoriia,village,Донецька,48.067351,38.485622,2381797,relation
Дорофієнко,Dorofiienko,village,Донецька,48.069035,38.473934,2381798,relation
Амвросіївка,Amvrosiivka,town,Донецька,47.79095,38.503522,2383900,relation
Залізне,Zalizne,town,Донецька,48.371296,37.887849,2383990,relation
Торецьк,Toretsk,town,Донецька,48.392761,37.845133,2383991,relation
Дружба,Druzhba,village,Донецька,48.41171,37.916605,2383992,relation
Північне,Pivnichne,town,Донецька,48.395725,37.911576,2383993,relation
Велика Новосілка,Velyka Novosilka,town,Донецька,47.844186,36.839973,2418936,relation
П’ятипілля,,town,Донецька,48.015283,38.100158,2471226,relation
Пантелеймонівка,Panteleimonivka,town,Донецька,48.198854,37.979143,2498791,relation
Спартак,Spartak,village,Донецька,48.082306,37.767881,2498795,relation
Покровськ,Pokrovsk,town,Донецька,48.282334,37.173123,2506125,relation
Миколаївка,Mykolaivka,town,Донецька,48.850299,37.76687,2511362,relation
Селидове,Selydove,town,Донецька,48.147884,37.296738,2511537,relation
Святогірськ,Sviatohirsk,town,Донецька,49.040532,37.561466,2516292,relation
Моспине,Mospyne,town,Донецька,47.879307,38.065116,2521439,relation
Піски,Pisky,village,Донецька,48.062073,37.678644,2524617,relation
Миколаївка,Mykolaivka,village,Донецька,48.186848,37.385077,2527279,relation
Маринівка,Marynivka,village,Донецька,48.182325,37.347056,2564674,relation
Південне,Pivdenne,town,Донецька,48.364529,37.91339,2586576,relation
Бабах-Тарама,Babakh-Tarama,village,Донецька,46.896284,37.088706,2675167,relation
Урзуф,Urzuf,village,Донецька,46.911984,37.101281,2675168,relation
Затишне,Zatyshne,village,Донецька,47.520967,37.324745,2677301,relation
Златоустівка,Zlatoustivka,village,Донецька,47.489561,37.326624,2677302,relation
Малинівка,Malynivka,village,Донецька,47.513105,37.382783,2677303,relation
Веселе,Vesele,village,Донецька,47.484354,37.362917,2677316,relation
Хлібодарівка,Khlibodarivka,village,Донецька,47.479065,37.395842,2677317,relation
Миколаївка,Mykolaivka,village,Донецька,47.998253,38.247416,2678519,relation
Зугрес,Zuhres,town,Донецька,48.016091,38.274053,2678594,relation
Юріївка,Yurivka,village,Донецька,46.939458,37.20054,2683009,relation
Іллінка,Illinka,village,Донецька,48.266582,38.421119,2684774,relation
Кам’янка,Kamianka,village,Донецька,48.242292,38.487875,2684775,relation
Комишатка,Komyshatka,village,Донецька,48.238496,38.353634,2684776,relation
Ольховатка,Olkhovatka,town,Донецька,48.241137,38.406225,2684777,relation
Польове,Polove,village,Донецька,48.205442,38.467372,2684778,relation
Славне,Slavne,village,Донецька,48.217997,38.319232,2684779,relation
Водянське,Vodianske,town,Донецька,48.408862,37.106436,2691405,relation
Світле,Svitle,village,Донецька,48.400535,37.11858,2691406,relation
Придорожнє,Prydorozhnie,village,Донецька,47.852371,37.966382,2707640,relation
Криничне,,village,Донецька,48.150636,37.677736,2718406,relation
Лиман,Lyman,town,Донецька,48.985693,37.809682,2718821,relation
Жданівка,Zhdanivka,town,Донецька,48.149513,38.247537,2720214,relation
Зачатівка,Zachativka,village,Донецька,48.029655,38.377771,2720251,relation
Садове,Sadove,village,Донецька,48.027849,38.397198,2720252,relation
Фролівське,,village,Донецька,47.255058,38.270998,2724276,relation
Ковське,Kovske,village,Донецька,47.237146,38.239544,2724277,relation
Кузнеці,Kuznetsi,hamlet,Донецька,47.276417,38.319046,2724278,relation
Самійлове,Samiilove,village,Донецька,47.256226,38.247952,2724279,relation
Зернове,Zernove,village,Донецька,47.403566,38.09629,2724290,relation
Зорі,Zori,village,Донецька,47.369971,38.196691,2724291,relation
Тернівка,Ternivka,village,Донецька,47.374958,38.127608,2724292,relation
Новоолександрівка,Novooleksandrivka,village,Донецька,47.393,38.250647,2725020,relation
Берестове,Berestove,hamlet,Донецька,47.587202,38.332087,2725681,relation
Лужки,Luzhky,village,Донецька,47.582889,38.260025,2725682,relation
Культура,Kultura,village,Донецька,47.663505,38.315673,2725697,relation
Світлий Луч,Svitlyi Luch,hamlet,Донецька,47.689113,38.311834,2725698,relation
Вишневе,Vyshneve,hamlet,Донецька,47.671245,38.270686,2725703,relation
Андріївка,Andriivka,village,Донецька,47.826726,38.128887,2725991,relation
Вербова Балка,Verbova Balka,village,Донецька,47.834026,38.082089,2725992,relation
Михайлівка,Mykhailivka,village,Донецька,47.835447,38.133615,2725993,relation
Новодвірське,Novodvirske,village,Донецька,47.841669,38.146247,2725994,relation
Світле,Svitle,village,Донецька,47.815392,38.091647,2725995,relation
Новоукраїнське,Novoukrainske,hamlet,Донецька,47.796706,38.786953,2726015,relation
Григорівка,Hryhorivka,village,Донецька,47.85692,38.7811,2726036,relation
Зарічне,Zarichne,village,Донецька,48.061531,38.510535,2740218,relation
Гнутове,Hnutove,village,Донецька,47.206277,37.752741,2742276,relation
Черненко,Chernenko,hamlet,Донецька,47.225506,37.747205,2742277,relation
Зелене,Zelene,village,Донецька,47.633848,38.104619,2742293,relation
Киселівка,Kyselivka,village,Донецька,47.750099,38.460376,2742312,relation
Верхньоєланчик,Verkhnoielanchyk,village,Донецька,47.763707,38.442248,2742313,relation
Новоєланчик,Novoielanchyk,village,Донецька,47.779217,38.43205,2742314,relation
Старобешеве,Starobesheve,town,Донецька,47.751739,38.028715,2839735,relation
Темрюк,Temriuk,village,Донецька,47.894343,37.987758,2842774,relation
Часів Яр,Chasiv Yar,town,Донецька,48.572419,37.843807,2875300,relation
Дебальцеве,Debaltseve,town,Донецька,48.341743,38.424633,2875301,relation
Олексієво-Дружківка,Oleksiievo-Druzhkivka,town,Донецька,48.577869,37.616681,2900260,relation
Дружківка,Druzhkivka,town,Донецька,48.626096,37.533193,2900261,relation
Новогригорівка,Novohryhorivka,town,Донецька,48.575927,37.424171,2900262,relation
Новомиколаївка,Novomykolaivka,town,Донецька,48.562266,37.361707,2900263,relation
Райське,Raiske,town,Донецька,48.579168,37.462493,2900264,relation
Валентинівка,Valentynivka,village,Донецька,48.315565,37.756732,2900718,relation
Диліївка,Dyliivka,village,Донецька,48.427055,37.87311,2900720,relation
Кримське,Krymske,village,Донецька,48.409455,37.866469,2900721,relation
Курдюмівка,Kurdiumivka,town,Донецька,48.469364,37.954145,2900722,relation
Леонідівка,Leonidivka,village,Донецька,48.370318,37.802417,2900723,relation
Неліпівка,Nelipivka,town,Донецька,48.357047,37.831989,2900724,relation
Нью-Йорк,Niu-York,town,Донецька,48.317314,37.852663,2900725,relation
Озарянівка,Ozarianivka,village,Донецька,48.45224,37.952592,2900726,relation
Новоспаське,,town,Донецька,48.384975,37.78243,2900727,relation
Суха Балка,Sukha Balka,village,Донецька,48.325527,37.762416,2900728,relation
Щербинівка,Shcherbynivka,town,Донецька,48.400306,37.793106,2900729,relation
Юріївка,Yuriyivka,hamlet,Донецька,48.31403,37.83218,2900730,relation
Ломакине,Lomakyne,village,Донецька,47.173701,37.721571,2900754,relation
Старий Крим,Staryi Krym,town,Донецька,47.165629,37.467149,2900755,relation
Талаківка,Talakivka,town,Донецька,47.19333,37.723808,2900756,relation
Українськ,Ukrainsk,town,Донецька,48.098095,37.36273,2903222,relation
Цукурине,Tsukuryne,town,Донецька,48.080343,37.306586,2903223,relation
Іловайськ,Ilovaisk,town,Донецька,47.925281,38.200345,2906254,relation
Придорожнє,Prydorozhnie,village,Донецька,47.919123,38.169837,2906255,relation
Шахтне,Shakhtne,village,Донецька,47.980751,38.282233,2906256,relation
Третяки,Tretiaky,village,Донецька,47.91349,38.217415,2906257,relation
Троїцько-Харцизьк,Troitsko-Khartsyzk,village,Донецька,47.966318,38.266992,2906258,relation
Виноградне,Vynohradne,village,Донецька,47.920958,38.228333,2906259,relation
Ашуркове,Ashurkove,hamlet,Донецька,48.657555,37.634656,2908426,relation
Василівська Пустош,Vasylivska Pustosh,village,Донецька,48.76099,37.702809,2908427,relation
Мирноград,Myrnohrad,town,Донецька,48.296717,37.269134,2910227,relation
Світле,Svitle,village,Донецька,48.308628,37.236546,2910228,relation
Родинське,Rodynske,town,Донецька,48.356153,37.212345,2910229,relation
Федорівка,Fedorivka,hamlet,Донецька,48.261882,38.042718,2912086,relation
Данилове,Danylove,village,Донецька,48.220082,38.468902,2912118,relation
Корсунь,Korsun,town,Донецька,48.215812,38.072045,2912119,relation
Новоселівка,Novoselivka,village,Донецька,48.264361,38.107853,2912120,relation
Щебенка,Shchebenka,village,Донецька,48.191356,38.140673,2912121,relation
Каштанове,Kashtanove,hamlet,Донецька,48.121797,37.831935,2912160,relation
Пелагіївка,Pelahiivka,town,Донецька,48.09828,38.607523,2914997,relation
Гірне,Hirne,village,Донецька,48.037206,38.548667,2916660,relation
Лобанівка,Lobanivka,village,Донецька,48.072928,38.367145,2916661,relation
Сердите,Serdyte,town,Донецька,48.040282,38.384589,2916662,relation
Стіжківське,Stizhkivske,town,Донецька,48.119211,38.466473,2916663,relation
Вершинівка,Vershynivka,hamlet,Донецька,47.487988,38.146173,2950561,relation
Волноваха,Volnovakha,town,Донецька,47.60022,37.487955,3106795,relation
Миронівський,Myronivskyi,town,Донецька,48.464217,38.274819,3157841,relation
Опитне,Opytne,village,Донецька,48.095937,37.721137,3311603,relation
Новогродівка,Novohrodivka,town,Донецька,48.211885,37.328637,3313676,relation
Бахмут,Bakhmut,town,Донецька,48.600763,38.011534,3313703,relation
Веселе,Vesele,village,Донецька,48.063027,37.723091,3449462,relation
Афіни,,village,Донецька,47.292704,37.611853,3476497,relation
Орлівка,Orlivka,village,Донецька,48.163428,37.638037,3476703,relation
Покровка,Pokrovka,village,Донецька,47.934986,38.27808,3478826,relation
Грузько-Ломівка,Hruzko-Lomivka,town,Донецька,47.913715,38.110213,3507205,relation
Сокіл,Sokil,village,Донецька,48.232455,37.548846,3539725,relation
Верхньоторецьке,Verkhnotoretske,town,Донецька,48.212682,37.893257,3550075,relation
Тоненьке,Tonenke,village,Донецька,48.139889,37.640829,3550076,relation
Гродівка,Hrodivka,town,Донецька,48.26146,37.380352,3562650,relation
Вугляр,Vuhliar,village,Донецька,48.014794,38.060873,3586075,relation
Холодне,,town,Донецька,48.03504,38.062379,3586076,relation
Калинове,Kalynove,village,Донецька,47.753044,38.696206,3586082,relation
Манич,Manych,village,Донецька,47.755756,38.743929,3586083,relation
Успенка,Uspenka,village,Донецька,47.728287,38.704346,3586099,relation
Сергієве-Кринка,Serhiieve-Krynka,village,Донецька,47.774174,38.663304,3586101,relation
Кодема,Kodema,village,Донецька,48.474371,38.090885,3586114,relation
